Name,City,Latitude,Longitude,Diesel price 
GANESH AGENCY,SOMWARPET,12.59845,75.85113348,92.25
COORG FUELS,VIRAJPET,12.193317,75.802028,92.18
K.V.NIRANJAN,BANASANDRA,13.311307,76.655535,91.39
SRI MANJUNATHASWAMY SERVICE STATION,SHIMOGA,13.916135,75.564638,92.23
S.G.SHIVASHANKARAIAH & SONS,BHADRAVATHI,13.842523,75.697546,92.23
KUMAR ENTERPRISES,AYYANUR,14.009113,75.438051,92.02
GAJANANA FILLING STATION,SAGAR,14.166745,75.04353,92.23
H V R & H V K,THIRTHAHALLI,13.690565,75.249285,91.68
SOWKAR M BABA PAI (WEST MAIDAN),MANGALORE,12.888064,74.835455,90.21
BHASKAR SARVOTTAM KAMATH & SONS,UPPINANGADY,12.837373,75.241018,90.61
MYMPSN,MANGALORE,12.85582,74.833446,74.78
DEEPAK SALES & SERVICES,MANGALORE,12.948997,74.810409,90.17
SRI DURGA SERVICE STATION,B.C.ROAD (NR.FR.PET),12.876666,75.01215,90.33
ANURADHA AUTO SERVICE CENTRE,VISAKHAPATNAM,17.716564,83.204724,96.24
BHAGYALAXMI FILLING STATION,VISAKHAPATNAM,17.747624,83.331127,96.24
CHAKKA SRIRAMAMURTHY &SURYANARAYANA,PAYAKARAOPET,17.367395,82.566744,96.96
CHAKKA SRIRAMAMURTHY &SURYANARAYANA,YELAMANCHILI,17.554223,82.858696,96.67
J C ENTERPRISES,ANANDAPURAM,17.901081,83.397291,96.38
MAHALAKSHMI ENTERPRISES,OLD GAJUWAKA,17.68395,83.202367,96.3
MATSYA MARINES,VISAKHAPATNAM,17.699796,83.302159,96.24
ONDURU BOJJAIAH SON,PADERU,18.081996,82.665466,96.99
SRI SATYASAI ENTERPRISES,SABBAVARAM,17.78236,83.117279,96.31
SRINIVASA SERVICE CENTRE,UGGINIPALEM,17.642284,82.903946,96.48
SRINIVASA AUTOMOBILE SERVICE STN,VISAKHAPATNAM,17.724834,83.309147,96.24
TIRUMALA ENTERPRISES,VISAKHAPATNAM,17.713353,83.294187,96.24
SIMHADRI AGENCIES,VISAKHAPATNAM,17.761888,83.334045,96.24
V CHALAMAIAH SONS,VISAKHAPATNAM,17.685495,83.216825,96.19
SRINIVASA AUTO CENTRE,THIMMAPURAM,17.422511,82.737839,96.75
GENERAL ENTERPRISES,VIZIANAGARAM,18.107236,83.396342,96.8
M SANYASI CHETTY & GURU MURTHY,BHUSAIVALASA,18.483093,83.285096,97.44
M.CHINA SANYASI CHETTY & SON,SALUR,18.518416,83.201138,97.44
SRI VENKATADURGA ENTERPRISES,KOTHAVALASA,17.883516,83.188133,96.31
P SATYANARAYANA GUPTA,RAJAM,18.449425,83.661097,97.38
SRI BALAJI AGENCIES,KAKINADA,16.954213,82.231531,97.71
LAKEVIEW FILLING STATION,KAKINADA,16.994287,82.24278,97.71
AKSHAY AUTOMOBILES,KAKINADA,17.017371,82.263033,97.71
CHAKKA SRIRAMAMURTHY &SURYANARAYANA,VELAMKOTHUR,17.340433,82.511369,97.03
CHAKKA SRIRAMAMURTHY &SURYANARAYANA,PITHAPURAM,17.110251,82.255012,97.47
SRI LAKSHMI AGENCIES,RAJAHMUNDRY,17.012223,81.782055,96.74
SREE SURYAPRAKASH SERVICE STATION.,RAJAHMUNDRY,17.027302,81.808044,96.74
BUCHIBABU FILLING CENTRE,ETHAKOTA,16.724978,81.83086,97.06
SRI BHIMESWARA AGENCIES,AMALAPURAM,16.581128,81.99682,97.4
SRI RAMA SURYA SATYA AGENCIES,AMALAPURAM,16.57816,82.00214,97.4
PADMA PETROLEUMS,ANAPARTHY,16.931269,81.953636,96.93
SRI PATTABHIRAM COMMERCIAL SYNDICAT,MALKIPURAM,16.408749,81.796702,97.67
KONASEEMA PETROFILL,RAVULAPALEM,16.743719,81.833843,97.05
V.VEERARAJU,DWARAPUDI,16.922617,81.915391,96.92
SRI VENKATESWARA MOTOR OIL CO.,GOKAVARAM,17.263818,81.851578,96.63
K.KANAKAIAH & CO.,MACHILIPATNAM,16.185813,81.13569,97.75
KANCHI SEETHARAMAIAH & SONS,TIRUVURU,17.10108,80.614677,97.31
SRI LAKSHMI PRANAV FILLING STATION,BANTUMILLI,16.366239,81.272362,98.01
RAVI RAGHAVAIAH & SONS,CHALLAPALLI,16.116544,80.931222,97.72
SRI VENKATESWARA AUTOMOBILES,BAPULAPADU,16.635188,80.970482,97.37
AMAR AUTOMOBILES (A/C MAHESHWARI UD,MUMBAI,19.026304,72.854449,89.98
AURO PETROLEUM CENTRE,MUMBAI,19.051732,72.90265,89.98
BAHRI AUTO SERVICE,MUMBAI,19.051588,72.901485,89.98
BAJRANG AUTO SERVICE,MUMBAI,19.108037,72.880894,89.98
BHARUCHA AUTO SERVICE,MUMBAI,19.035216,72.842588,89.98
BOMBAY PETROLEUMS,MUMBAI,19.025233,72.84038,89.98
BORIVALI PETROL SUPPLY,MUMBAI,19.233697,72.856828,90.08
CHHEDA SERVICE STATION,MUMBAI,19.177731,72.943649,90.09
DAULAT AUTOMOBILES,MUMBAI,18.936852,72.839711,89.98
DAYARAM SANTDAS & CO,MUMBAI,18.965334,72.80398,89.98
DESAI AUTO SERVICE,MUMBAI,19.043377,72.863915,89.98
EXPRESS SERVICES QR,MUMBAI,18.937834,72.82736,89.98
EXPRESS PETROLEUM COLABA,MUMBAI,18.91663,72.827154,89.98
FAMOUS AUTO SERVICE STATION,MUMBAI,19.217907,72.851387,90.08
AUTO CENTRE,ELURU,16.710279,81.09399,97.69
THE ELURU PETROL SUPPLY COMPANY,ELURU,16.710275,81.093981,97.69
SRI VENKATESWARA SERVICE STATION,ELURU,16.716753,81.116057,97.69
DARA KRISHNA RAO,TADEPALLIGUDEM,16.815551,81.5201,97.52
J.V.L. NARASIMHA RAO,PERAVALI,16.7444837,81.7498342,97.25
R.AMMIRAJU & BROTHERS,NIDADAVOLU,16.903073,81.676226,97.06
RAMA CORPORATION,PRATHIPADU,16.834776,81.694679,97.52
MOTILAL RUPCHAND,KOVVUR,17.02,81.731522,96.82
P. NARASIMHA SWAMY,PALACOLE,16.44397,81.70214,97.45
SRI VENKATESWARA AGRO,CHINTALAPUDI,17.062949,80.983369,97.74
SRI GOPALA KRISHNA PETROL PUMP,JANGAREDYGUDM,17.12005,81.298064,97.51
SRI RAMA PETROL PUMP,KHAMMAM,17.249802,80.133306,95.72
JANARDHANAM SERVICE STATION,BADRACHALAM,17.670703,80.893527,97.13
K.JANARDHANAM & C. SUDARSAN DAS,KOTHAGUDEM,17.551582,80.616439,96.43
SITARAMA OIL TRADERS,KHAMMAM,18.069406,80.829525,96.99
THAKUR PETROL SUPPLY,GARLA,17.466532,80.146588,96.02
CSR MURTHY(UGGINIPALEM),UGGINIPALEM VILLAGE,17.645512,82.907899,96.48
Sri Ramakrishna Station,BAYYAVARAM,17.659654,82.936341,96.44
PODUGU SWAMULU & SONS,AKKIVALASA,18.260527,83.788058,97
SRIKAKULAM SER STN.,PEDDAPADU,18.323172,83.937413,97.26
RAMGOPAL & CO,KAKINADA,17.024559,82.232842,97.71
J.NARASIMHA RAO & SONS,KHAMMAM,17.225067,80.277217,95.77
SRI MOTILAL RUPCHAND,NARSAPUR,16.443958,81.702163,97.55
GATEWAY AUTO SERVICES,MUMBAI,18.924391,72.832833,89.98
GILL AUTO SERVICE,MUMBAI,18.985612,72.842528,89.98
GODREJ & BOYCE MFG.CO.PVT LTD.,MUMBAI,19.105207,72.922392,89.98
GOREGAON PETROL SUPPLY CO,MUMBAI,19.166072,72.845856,90.19
"GURUNANAK AUTOMOBILES,A/C ANDHERI",MUMBAI,19.116191,72.856341,89.98
HIGHWAY AUTOMOBILES GHATKOPAR,MUMBAI,19.095677,72.915104,89.98
J.SINGH BROTHERS. (A/C GP RD),MUMBAI,18.96965,72.845215,89.98
JANATA SERVICE STATION,MUMBAI,18.97629,72.846719,89.98
J.B. PATEL& CO(A/C MAMA P RD),MUMBAI,18.953898,72.816273,89.98
JOGESHWARI PETROL SUPPLYCO.,MUMBAI,19.131122,72.847309,90.02
OM SIDDHESHWARI FUEL WORLD,MUMBAI,19.112654,72.841472,89.98
KAKA AUTOMOBILES,MUMBAI,19.142992,72.932953,90.01
KAUSAR AUTO SERVICE,MUMBAI,18.979171,72.824836,89.98
KENIA AUTOMOBILES,MUMBAI,18.986749,72.843869,89.98
LAKHBIR AUTOMOBILES,MUMBAI,19.07099,72.862172,89.98
LAXMI ENTERPRISES,MUMBAI,18.980428,72.851006,89.98
LIBERTY  AUTOMOBILES,MUMBAI,18.919432,72.829776,89.98
MADHAV MOTORSTORES PVT.LTD.A/CANDHE,MUMBAI,19.117832,72.844981,89.98
MAHAVIR AUTO,MUMBAI,19.155509,72.937902,90.01
MANHAS AUTO SERVICE,MUMBAI,18.998667,72.849183,89.98
MASTAKAR AUTO SERVICE STN.,MUMBAI,19.142677,72.831676,90.02
MODERN SERVICE STATION,MUMBAI,18.964647,72.819811,89.98
NATIONAL PETROL CO. ( A/C DADAR),MUMBAI,19.021495,72.837214,89.98
